Question,Answer
5+2,7
3+4,7
8-1,7
10-3,7
6+5,11
9-2,7
4+6,10
12-5,7
7+3,10
15-8,7
2+9,11
11-4,7
1+8,9
14-6,8
13-5,8
20-12,8
7+1,8
16-8,8
9+4,13
18-10,8
6+7,13
22-14,8
3+10,13
25-17,8
8+5,13
28-20,8
11+2,13
30-22,8
12+1,13
32-24,8
14+6,20
40-34,6
15+5,20
45-39,6
17+3,20
50-44,6
19+1,20
55-49,6
21+4,25
60-55,5
23+2,25
65-60,5
24+1,25
70-65,5
26+9,35
80-75,5
27+8,35
85-80,5
28+7,35
90-85,5
29+6,35
95-90,5
31+4,35
100-95,5
33+12,45
110-105,5
34+11,45
115-110,5
35+10,45
120-115,5
36+9,45
125-120,5
37+8,45
130-125,5
38+7,45
135-130,5
39+6,45
140-135,5
41+14,55
150-145,5
42+13,55
155-150,5
43+12,55
160-155,5
44+11,55
165-160,5
45+10,55
170-165,5
46+9,55
175-170,5
47+8,55
180-175,5
48+7,55
185-180,5
49+6,55
190-185,5
51+4,55
195-190,5
52+23,75
200-195,5
53+22,75
205-200,5
54+21,75
210-205,5
55+20,75
215-210,5
56+19,75
220-215,5
57+18,75
225-220,5
58+17,75
230-225,5
59+16,75
235-230,5
61+14,75
240-235,5
62+13,75
245-240,5
63+12,75
250-245,5
64+11,75
255-250,5
65+10,75
260-255,5
66+9,75
265-260,5
